station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration,weather,temperature,pressure,humidity,wind_speed,wind_direction,time_num,date_num
1005,2014/5/1 0:00,109,112.9,51,0.9,86,7.3,0,18,755.9,71,2,23,0,1
1005,2014/5/1 1:00,101,112.7,47.1,0.9,81.5,6.3,0,18,755.9,71,2,23,1,1
1005,2014/5/1 2:00,102,108.4,47.8,0.9,69.1,6.1,0,18,755.9,71,2,23,2,1
1005,2014/5/1 3:00,108,115,40.7,1,69.1,5,0,18,755.9,71,2,23,3,1
1005,2014/5/1 4:00,115,116.4,33.7,1,66.1,4.7,0,18,755.9,71,2,23,4,1
1005,2014/5/1 5:00,123,124.9,40.5,1,54.9,4.8,0,16.8,755.8,78,1,13,5,1
1005,2014/5/1 6:00,142,124.9,38.8,1,46.4,4.4,0,16.8,755.8,78,1,13,6,1
1005,2014/5/1 7:00,146,124.9,58.2,1.1,18.8,3.6,0,16.8,755.8,78,1,13,7,1
1005,2014/5/1 8:00,130,134.3,86.5,1.3,3.5,4.2,0,19,756.9,72,2,23,8,1
1005,2014/5/1 9:00,158,162.7,75,1.2,12.6,8.9,0,19,756.9,72,2,23,9,1
1005,2014/5/1 10:00,152,161,60.8,1.2,29.8,15.2,0,19,756.9,72,2,23,10,1
1005,2014/5/1 11:00,163,170.3,48.4,1.2,55.2,22.8,0,24.5,756.1,57,4,23,11,1
1005,2014/5/1 12:00,181,170.3,49.6,1.2,87.2,28.6,0,24.5,756.1,57,4,23,12,1
1005,2014/5/1 13:00,173,170.3,37.6,1.2,116.9,33.1,0,24.5,756.1,57,4,23,13,1
1005,2014/5/1 14:00,189,170.3,35.1,1.3,133.4,36.2,0,26.7,753.9,44,5,3,14,1
1005,2014/5/1 15:00,184,170.3,36.3,1.4,141.4,36.4,0,26.7,753.9,44,5,3,15,1
1005,2014/5/1 16:00,184,170.3,34.6,1.4,159,37,0,26.7,753.9,44,5,3,16,1
1005,2014/5/1 17:00,167,170.3,36.4,1.2,158.6,31.2,0,26.6,753.8,48,3,2,17,1
1005,2014/5/1 18:00,159,170.3,36.7,1.2,154.2,25.3,0,26.6,753.8,48,3,2,18,1
1005,2014/5/1 19:00,148,170.3,38.7,1,116,21.5,0,26.6,753.8,48,3,2,19,1
1005,2014/5/1 20:00,95,170.3,23.2,0.6,63.4,9.2,0,19.1,756.7,32,6,4,20,1
1005,2014/5/1 21:00,92,170.3,18.9,0.5,60.2,2,0,19.1,756.7,32,6,4,21,1
1005,2014/5/1 22:00,58,170.3,19.8,0.4,55.5,2,0,19.1,756.7,32,6,4,22,1
1005,2014/5/1 23:00,48,170.3,11.4,0.4,62.2,2,0,15.1,759.2,42,5,4,23,1
1005,2014/5/2 0:00,40,170.3,9.2,0.4,62.6,2,0,15.1,759.2,42,5,4,0,2
1005,2014/5/2 1:00,31,170.3,8.7,0.3,62.9,2,0,15.1,759.2,42,5,4,1,2
