index,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
5000,2016/2/15 10:20,740,20,19.5,42.13333333,18.26,39.19666667,19.89,39.19333333,18.6,37.32666667,17.7,53.45,2.626666667,76.06666667,18.79,32.83111111,20.53888889,39.02944444,17.89,39.7,3.066666667,757.6666667,74.66666667,6,40,-1.066666667,1.774976274,1.774976274
5001,2016/2/15 10:30,590,10,19.5,40.73333333,18.26,38.05666667,19.92666667,38.56,18.7,37.36333333,17.7,53.29333333,2.76,75.59333333,18.79,32.56777778,20.52777778,38.915,17.89,39.4,3.25,757.85,73.5,6,40,-1.1,17.78518249,17.78518249
5002,2016/2/15 10:40,380,10,19.5,40.66,18.36,37.79,20.13333333,38.83333333,18.7,37.29,17.7,53.145,2.963333333,74.96666667,18.79,32.38055556,20.55555556,38.74722222,17.89,39.26,3.433333333,758.0333333,72.33333333,6,40,-1.133333333,12.44364717,12.44364717
5003,2016/2/15 10:50,280,10,19.5,40.96666667,18.6,37.8175,20.46,39.36,18.73,37.26,17.7,53.01833333,3.223333333,72.82666667,18.82888889,32.24888889,20.55555556,38.61055556,17.89,39.2,3.616666667,758.2166667,71.16666667,6,40,-1.166666667,43.95901875,43.95901875
5004,2016/2/15 11:00,240,10,19.5,40.82666667,18.76,37.96666667,20.72666667,39.56,18.79,37.2,17.7,52.845,3.463333333,69.86666667,18.89,32.07722222,20.58333333,38.42555556,17.89,39.26,3.8,758.4,70,6,40,-1.2,15.89894403,15.89894403
5005,2016/2/15 11:10,250,10,19.6,40.79,18.82333333,38.12666667,20.86,39.62666667,18.89,37.16333333,17.7,52.69666667,3.663333333,66.99333333,18.89,31.86444444,20.58333333,38.21444444,17.89,39.5,4,758.5333333,68.83333333,5.833333333,40,-1.25,16.05602523,16.05602523
5006,2016/2/15 11:20,210,10,19.6,40.79,18.96333333,38.2,21,39.7,18.96333333,37.09,17.7,52.565,3.86,66.16666667,18.90222222,31.66,20.6,38.06944444,17.89,39.43333333,4.2,758.6666667,67.66666667,5.666666667,40,-1.3,42.39439733,42.39439733
5007,2016/2/15 11:30,80,20,19.7,40.9,19.03333333,38.23,21.13333333,39.72333333,19.03333333,37.03,17.68888889,52.44888889,4.06,63.3,18.99388889,31.49833333,20.6,37.88055556,17.92666667,39.23,4.4,758.8,66.5,5.5,40,-1.35,19.0635192,19.0635192
5008,2016/2/15 11:40,70,10,19.76,40.82666667,19.1,38.23,21.2675,39.42,19.1,37.03,17.65,52.29777778,4.226666667,62.36333333,19.02777778,31.31777778,20.6,37.64277778,17.92666667,39.29,4.6,758.9333333,65.33333333,5.333333333,40,-1.4,13.75621611,13.75621611
5009,2016/2/15 11:50,50,10,19.79,40.49,19.1,38.2,21.23,38.89,19.1,37,17.66111111,52.17333333,4.366666667,61.56333333,19.11666667,31.19833333,20.63888889,37.49888889,17.89,39.2,4.8,759.0666667,64.16666667,5.166666667,40,-1.45,45.89717514,45.89717514
