date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016/1/11 17:00,60,30,19.89,47.59666667,19.2,44.79,19.79,44.73,19,45.56666667,17.16666667,55.2,7.026666667,84.25666667,17.2,41.62666667,18.2,48.9,17.03333333,45.53,6.60E+00,733.5,92,7,63,5.30E+00,13.27543316,13.27543316
2016/1/11 17:10,60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,19,45.9925,17.16666667,55.2,6.833333333,84.06333333,17.2,41.56,18.2,48.86333333,17.06666667,45.56,6.48E+00,733.6,92,6.666666667,59.16666667,5.20E+00,18.60619498,18.60619498
2016/1/11 17:20,50,30,19.89,46.3,19.2,44.62666667,19.79,44.93333333,18.92666667,45.89,17.16666667,55.09,6.56,83.15666667,17.2,41.43333333,18.2,48.73,17,45.5,6.37E+00,733.7,92,6.333333333,55.33333333,5.10E+00,28.64266817,28.64266817
2016/1/11 17:30,50,40,19.89,46.06666667,19.2,44.59,19.79,45,18.89,45.72333333,17.16666667,55.09,6.433333333,83.42333333,17.13333333,41.29,18.1,48.59,17,45.4,6.25E+00,733.8,92,6,51.5,5.00E+00,45.4103895,45.4103895
2016/1/11 17:40,60,40,19.89,46.33333333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.366666667,84.89333333,17.2,41.23,18.1,48.59,17,45.4,6.13E+00,733.9,92,5.666666667,47.66666667,4.90E+00,10.08409655,10.08409655
2016/1/11 17:50,50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,18.89,45.73,17.13333333,55.03,6.3,85.76666667,17.13333333,41.26,18.1,48.59,17,45.29,6.02E+00,734,92,5.333333333,43.83333333,4.80E+00,44.91948425,44.91948425
2016/1/11 18:00,60,50,19.89,45.76666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.96666667,6.263333333,86.09,17.13333333,41.2,18.1,48.59,17,45.29,5.90E+00,734.1,92,5,40,4.70E+00,47.23376343,47.23376343
2016/1/11 18:10,60,50,19.85666667,45.56,19.2,44.5,19.73,44.9,18.89,45.86333333,17.1,54.9,6.19,86.42333333,17.1,41.2,18.1,48.59,17,45.29,5.92E+00,734.1666667,91.83333333,5.166666667,40,4.68E+00,33.03988962,33.03988962
2016/1/11 18:20,60,40,19.79,45.5975,19.2,44.43333333,19.73,44.79,18.89,45.79,17.16666667,55,6.123333333,87.22666667,17.16666667,41.4,18.1,48.59,17,45.29,5.93E+00,734.2333333,91.66666667,5.333333333,40,4.67E+00,31.45570219,31.45570219
2016/1/11 18:30,70,40,19.85666667,46.09,19.23,44.4,19.79,44.86333333,18.89,46.09666667,17.1,55,6.19,87.62666667,17.2,41.5,18.1,48.59,17,45.29,5.95E+00,734.3,91.5,5.5,40,4.65E+00,3.089313523,3.089313523
2016/1/11 18:40,230,70,19.92666667,45.86333333,19.35666667,44.4,19.79,44.9,18.89,46.43,17.1,55,6.19,87.86666667,17.2475,42.7175,18.1,48.59,17,45.29,5.97E+00,734.3666667,91.33333333,5.666666667,40,4.63E+00,10.29872874,10.29872874
2016/1/11 18:50,580,60,20.06666667,46.39666667,19.42666667,44.4,19.79,44.82666667,19,46.43,17.1,55,6.123333333,87.99333333,17.53,44.26333333,18.06666667,48.63333333,16.89,45.29,5.98E+00,734.4333333,91.16666667,5.833333333,40,4.62E+00,8.827837626,8.827837626
2016/1/11 19:00,430,50,20.13333333,48,19.56666667,44.4,19.89,44.9,19,46.36333333,17.1,55.09,6.123333333,88.59,17.82333333,45.49333333,18.06666667,48.56,16.96333333,45.29,6.00E+00,734.5,91,6,40,4.60E+00,34.35114233,34.35114233
2016/1/11 19:10,250,40,20.26,52.72666667,19.73,45.1,19.89,45.49333333,19,47.22333333,17.1,55.16333333,6.0675,88.215,17.96333333,46.16,18.03333333,48.66666667,16.89,45.32666667,6.00E+00,734.6166667,90.5,6,40,4.52E+00,19.20518591,19.20518591
2016/1/11 19:20,100,10,20.42666667,55.89333333,19.85666667,45.83333333,20.03333333,47.52666667,19,48.69666667,17.1,55.5,5.9,88.15666667,17.96333333,45.53333333,18.1,49.19333333,16.89,45.345,6.00E+00,734.7333333,90,6,40,4.43E+00,38.492071,38.492071
2016/1/11 19:30,100,10,20.56666667,53.89333333,20.03333333,46.75666667,20.1,48.46666667,19,48.49,17.15,56.0425,5.8,88.36666667,17.89,44.92666667,18.15,49.2,16.89,45.32666667,6.00E+00,734.85,89.5,6,40,4.35E+00,24.8849621,24.8849621
2016/1/11 19:40,90,10,20.73,52.66,20.16666667,47.22333333,20.2,48.53,18.92666667,48.15666667,17.16666667,56.49,5.726666667,88.16,17.76,44.26666667,18.23,49.63333333,16.89,45.29,6.00E+00,734.9666667,89,6,40,4.27E+00,35.88092541,35.88092541
2016/1/11 19:50,70,30,20.85666667,53.66,20.2,47.05666667,20.2,48.4475,18.89,47.96333333,17.2,56.93333333,5.526666667,87.3,17.7,43.72666667,18.35666667,50.02666667,16.89,45.29,6.00E+00,735.0833333,88.5,6,40,4.18E+00,49.59530474,49.59530474
2016/1/11 20:00,80,30,20.89,51.19333333,20.2,46.33,20.2,48.19333333,18.96333333,48.63,17.2,57.06,5.333333333,86.76,17.66666667,43.16,18.53333333,50.2,16.89,45.2,6.00E+00,735.2,88,6,40,4.10E+00,19.00175897,19.00175897
2016/1/11 20:10,140,40,20.89,49.8,20.2,46.02666667,20.16666667,47.63333333,19.03333333,49.5,17.59333333,70.72666667,5.333333333,87.46333333,17.6,42.69333333,18.66666667,50.26,16.89,45.2,6.00E+00,735.2333333,87.83333333,6,40,4.07E+00,38.87226107,38.87226107
2016/1/11 20:20,120,20,20.89,48.43333333,20.2,45.7225,20.16666667,47.3,19.175,49.9475,18.06666667,79,5.466666667,87.53,17.6,42.33333333,18.73,50.23,16.89,45.12666667,6.00E+00,735.2666667,87.66666667,6,40,4.03E+00,46.73526156,46.73526156
2016/1/11 20:30,190,40,20.96333333,47.63333333,20.26,45.53,20.2,47.02666667,19.26,49.69666667,17.66666667,79.73,5.5,86.95666667,17.53333333,42.06666667,18.85666667,50.29,16.89,45.12666667,6.00E+00,735.3,87.5,6,40,4.00E+00,10.60712606,10.60712606
2016/1/11 20:40,110,40,21.03333333,47.06333333,20.29,45.22333333,20.26,46.82666667,19.32333333,49.16666667,17.6,79.25666667,5.56,86.56333333,17.63333333,43.63333333,18.89,50.16333333,16.89,45.06,6.00E+00,735.3333333,87.33333333,6,40,3.97E+00,32.5836883,32.5836883
2016/1/11 20:50,110,40,21.1,46.59666667,20.35666667,44.96333333,20.29,46.63333333,19.39,48.42666667,17.56666667,78.39333333,5.623333333,86.33,17.76,43.63333333,18.96333333,50.03,16.89,45,6.00E+00,735.3666667,87.16666667,6,40,3.93E+00,6.277754798,6.277754798
2016/1/11 21:00,110,30,21.13333333,46.06,20.42666667,44.76,20.29,46.43333333,19.39,48.19333333,17.76,82.46,5.763333333,86.06333333,17.85666667,43.46,19,49.76,16.89,44.96666667,6.00E+00,735.4,87,6,40,3.90E+00,13.36103344,13.36103344
2016/1/11 21:10,110,20,21.2,45.8,20.5,44.76,20.39,46.22333333,19.39,47.8,18.35666667,82.59,5.656666667,85.59,17.79,43.4,19.06666667,49.7,16.89,44.9,5.93E+00,735.4666667,87.16666667,6,40,3.87E+00,19.30570463,19.30570463
2016/1/11 21:20,100,30,21.29,45.9,20.53333333,45.09,20.39,46.09,19.39,47.56,18.35666667,70.99,5.53,85.73,17.89,43.79,19.13333333,49.63333333,16.89,44.79,5.87E+00,735.5333333,87.33333333,6,40,3.83E+00,0.669516658,0.669516658
2016/1/11 21:30,100,20,21.35666667,45.82666667,20.66666667,45.16333333,20.39,46.09,19.39,47.5,18.6,62.43,5.433333333,86.32666667,17.89,43.79,19.2,49.43333333,16.89,44.79,5.80E+00,735.6,87.5,6,40,3.80E+00,19.11939785,19.11939785
